Fighter_Id,Full_Name,Nickname,Height,Weight,Reach,Stance,Belt,Gender,Weight_Class_Profile,W,L,D,Avg_Fight_Time,KD,STR,TD,SUB,Ctrl,Sig_Str_Pct,Sub_Att,KO_Rate,SUB_Rate,DEC_Rate,Fighting_Style
513c6f1715e547a8,Brock Lesnar,No Nickname,6.3,265.0,81.0,Orthodox,False,Male,Heavyweight,5.0,3.0,0.0,452.75,0.62,31.0,1.88,0.25,254.75,0.7,0.25,0.67,0.17,0.17,Striker
513e84bfe65ff509,Luis Gomez,Tiger Junior,5.7,145.0,68.0,Orthodox,False,,,4.0,1.0,0.0,,,,,,,,,,,,
5140122c3eecd307,Daichi Abe,No Nickname,5.11,170.0,71.0,Orthodox,False,Male,Welterweight,6.0,2.0,0.0,900.0,0.33,57.0,0.33,0.0,7.33,0.33,0.0,0.0,0.0,1.0,Hybrid
5148a665aa527865,Christopher Lopez,No Nickname,5.1,170.0,,Orthodox,False,,,9.0,1.0,0.0,,,,,,,,,,,,
515890922fe9ce96,Adam Livingston,Bomb,6.2,155.0,71.0,Orthodox,False,,,6.0,1.0,0.0,,,,,,,,,,,,
5159e6ee100c717e,Cedric Doumbe,No Nickname,5.1,170.0,,Orthodox,False,,,2.0,0.0,0.0,,,,,,,,,,,,
518e5202a91980d4,Nate Moore,No Nickname,6.0,170.0,,Orthodox,False,,,8.0,4.0,0.0,,,,,,,,,,,,
519e4fe37ce9ff75,Drew Dober,No Nickname,5.8,155.0,70.0,Southpaw,False,Male,Lightweight,28.0,15.0,0.0,496.23,0.35,35.96,0.5,0.0,65.19,0.42,0.0,0.75,0.0,0.25,Hybrid
51a0c09cbe9b8472,Liz Carmouche,Girlrilla,5.6,125.0,66.0,Orthodox,False,Female,Women's Flyweight,13.0,7.0,0.0,862.6,0.0,32.1,2.5,0.4,273.0,0.51,0.4,0.17,0.0,0.83,Striker
51b0bb73a1da34bc,Mike Ciesnolevicz,No Nickname,6.0,235.0,,Orthodox,False,Male,Heavyweight,19.0,4.0,0.0,175.5,0.0,1.5,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,No Clear Style
51b1ca2a4b064101,Nick Bustamante,No Nickname,5.9,170.0,,Orthodox,False,,,5.0,3.0,0.0,,,,,,,,,,,,
51b1e2fd9872005b,Mackens Semerzier,Da Menace,5.9,145.0,72.0,Orthodox,False,Male,Featherweight,8.0,4.0,0.0,345.67,0.33,22.0,0.33,0.67,96.67,0.49,0.67,0.0,1.0,0.0,Striker
51c655162e462ceb,Shannon Ross,The Turkish Delight,5.6,125.0,66.0,Switch,False,Male,Flyweight,13.0,9.0,0.0,205.0,0.67,21.0,0.0,0.0,0.33,0.56,0.0,1.0,0.0,0.0,Hybrid
51d2aaaca56e5b40,Yurij Kiseliov,Playboy,5.8,185.0,,Orthodox,False,,,5.0,4.0,0.0,,,,,,,,,,,,
51e2f44a8dbf6984,Melissa Croden,Scare,,135.0,,Orthodox,False,,,7.0,2.0,0.0,,,,,,,,,,,,
51e86de150ee8be6,Thibault Gouti,GT,5.1,155.0,72.0,Orthodox,False,Male,Lightweight,12.0,5.0,0.0,489.33,0.33,37.67,0.67,0.17,100.67,0.34,0.17,0.5,0.0,0.5,Hybrid
523af801b3429015,Allan Zuniga,Tigre,5.7,155.0,70.0,Orthodox,False,Male,Lightweight,13.0,1.0,0.0,900.0,0.0,59.0,0.0,1.0,0.0,0.52,1.0,0.0,0.0,0.0,Striker
523f6ad11dbe9b53,Hans Stringer,No Nickname,6.3,205.0,,Orthodox,False,Male,Light Heavyweight,22.0,8.0,3.0,500.67,0.0,23.67,2.0,0.0,180.0,0.55,0.0,0.0,0.0,0.0,Striker
523fa774700d7d3f,Court McGee,The Crusher,5.11,170.0,75.0,Orthodox,False,Male,Welterweight,23.0,14.0,0.0,758.29,0.17,55.17,1.58,0.42,148.29,0.41,0.42,0.1,0.15,0.75,Striker
528b071cf3da7c56,Luana Carolina,Dread,5.6,135.0,69.0,Orthodox,False,Female,Women's Flyweight,11.0,5.0,0.0,799.2,0.1,56.4,0.7,0.7,158.2,0.49,0.7,0.33,0.0,0.67,Striker
528c24b99fbaab79,Johnny Eduardo,No Nickname,5.7,135.0,71.0,Orthodox,False,Male,Bantamweight,28.0,13.0,0.0,518.62,0.12,25.25,0.25,0.25,28.38,0.36,0.25,0.67,0.33,0.0,Hybrid
52a003d768f10d91,Khomkrit Niimi,The Bumblebee,5.2,125.0,,Orthodox,False,,,6.0,10.0,0.0,,,,,,,,,,,,
52b3ec072ad497a4,Dominic Brown,No Nickname,5.11,190.0,,Orthodox,False,,,16.0,23.0,0.0,,,,,,,,,,,,
52b6bf4528130e86,Shem Rock,No Nickname,5.11,155.0,73.0,Southpaw,False,Male,Lightweight,12.0,2.0,1.0,900.0,0.0,44.0,1.0,0.0,32.0,0.42,0.0,0.0,0.0,0.0,Hybrid
52ba464d9068d871,Elias Silverio,Xuxu,5.11,155.0,73.0,Orthodox,False,Male,Lightweight,13.0,3.0,0.0,891.6,0.4,42.0,1.0,0.2,176.0,0.44,0.2,0.5,0.5,0.0,Striker
52c2ae6d2f2d2613,Youssef Zalal,The Moroccan Devil,5.1,145.0,72.0,Switch,False,Male,Featherweight,18.0,5.0,1.0,691.58,0.08,25.08,1.67,0.92,205.92,0.43,0.92,0.0,0.33,0.67,Wrestler
52cae54377b433b7,Nate Quarry,Rock,6.0,185.0,72.0,Open Stance,False,Male,Middleweight,12.0,4.0,0.0,360.3,0.9,30.8,0.1,0.0,74.4,0.44,0.0,0.75,0.0,0.25,Hybrid
52d92050a046bc17,Crosley Gracie,No Nickname,5.9,190.0,,Orthodox,False,,,2.0,2.0,0.0,,,,,,,,,,,,
52e76bb4b3e852f3,Antonio Carlos Junior,Cara de Sapato,6.2,185.0,79.0,Orthodox,False,Male,Middleweight,11.0,5.0,0.0,687.46,0.0,26.31,2.15,0.38,328.92,0.45,0.38,0.0,0.57,0.43,Striker
52ef95b5860fb28c,Jean Silva,Lord,5.7,145.0,69.0,Orthodox,False,Male,Featherweight,16.0,3.0,0.0,449.5,0.17,31.67,0.67,0.0,37.17,0.48,0.0,1.0,0.0,0.0,Hybrid
52f7d300738961ac,Marcio Navarro,The Locomotive,6.0,155.0,,Orthodox,False,,,14.0,14.0,0.0,,,,,,,,,,,,
530af2900b5a1693,Dom Mar Fan,Street Buddha,5.11,155.0,75.0,Orthodox,False,,,8.0,2.0,0.0,,,,,,,,,,,,
53278852bcd91e11,Igor Pokrajac,The Duke,6.0,205.0,74.0,Orthodox,False,Male,Light Heavyweight,28.0,13.0,0.0,558.54,0.23,24.46,0.69,0.23,118.62,0.49,0.23,0.25,0.25,0.5,Hybrid
5330fe7e4c3af81c,Floyd Sword,No Nickname,6.0,185.0,,Orthodox,False,Male,Middleweight,12.0,3.0,0.0,230.0,0.0,3.0,0.0,0.0,38.0,0.42,0.0,0.0,0.0,0.0,Hybrid
5331b25a60417ffb,Anthony Rocco Martin,No Nickname,6.0,170.0,73.0,Orthodox,False,Male,Welterweight,17.0,6.0,0.0,762.93,0.0,35.4,0.73,0.4,161.27,0.39,0.4,0.0,0.14,0.86,Hybrid
5340123d826ceadb,Codale Ford,Crunch Time,5.9,170.0,,Orthodox,False,,,11.0,9.0,0.0,,,,,,,,,,,,
5345f86680378fc1,Ken Kaneko,No Nickname,6.0,161.0,,Orthodox,False,,,0.0,3.0,0.0,,,,,,,,,,,,
539ed332b3078821,Sarah Moras,Cheesecake,5.7,135.0,67.0,Orthodox,False,Female,Women's Bantamweight,6.0,8.0,0.0,751.0,0.22,33.22,0.67,0.44,143.11,0.47,0.44,0.0,0.2,0.8,Striker
53adf5b845d91e4a,Bertrand Amoussou,No Nickname,5.8,190.0,,Orthodox,False,,,1.0,1.0,0.0,,,,,,,,,,,,
53bb0d40905b87c0,Jay Silva,No Nickname,6.2,185.0,,Southpaw,False,Male,Middleweight,10.0,11.0,1.0,900.0,0.0,17.0,0.0,1.0,63.0,0.35,1.0,0.0,0.0,0.0,Wrestler
53c10176e3bc7416,Felipe Bunes,Felipinho,5.7,125.0,69.0,Orthodox,False,Male,Flyweight,14.0,8.0,0.0,531.67,0.0,28.0,0.67,0.67,57.67,0.52,0.67,0.0,0.0,0.0,Striker
53c21779d84ceb75,Jay Bogan,No Nickname,,145.0,,Orthodox,False,,,6.0,6.0,0.0,,,,,,,,,,,,
53c943c873cffe90,Philipe Lins,Monstro,6.2,205.0,78.0,Orthodox,False,Male,Light Heavyweight,18.0,5.0,0.0,635.0,0.17,37.17,0.17,0.0,106.83,0.49,0.0,0.5,0.0,0.5,Hybrid
