feature_set,model,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_brier
enriched,xgboost,0.697029702970297,0.7106824925816023,0.811864406779661,0.7579113924050633,0.7549455205811137,0.19483062624931335,0.7090729783037475,0.7222222222222222,0.7674418604651163,0.7441457068516912,0.7980616878649078,0.17919127643108368
enriched,random_forest,0.7069306930693069,0.7058823529411765,0.8542372881355932,0.7730061349693251,0.7522175141242939,0.20225526141945835,0.7120315581854043,0.7031963470319634,0.8264758497316637,0.7598684210526315,0.7961233757298157,0.19216771808510724
enriched,logistic_regression,0.6138613861386139,0.7976190476190477,0.4542372881355932,0.5788336933045356,0.7370702179176756,0.21869411749173995,0.6548323471400395,0.8913857677902621,0.4257602862254025,0.576271186440678,0.8141264817472331,0.20423832377163126
safe,xgboost,0.5603960396039604,0.5978552278820375,0.7559322033898305,0.6676646706586826,0.527637207425343,0.2521679997444153,0.5078895463510849,0.538961038961039,0.7423971377459749,0.6245297215951844,0.4833670801470444,0.26436901092529297
safe,random_forest,0.5514851485148515,0.5863808322824716,0.788135593220339,0.6724511930585684,0.5163458434221146,0.2487129003635559,0.5069033530571992,0.5364647713226205,0.776386404293381,0.6345029239766082,0.468025713106214,0.26153948119457004
safe,logistic_regression,0.43267326732673267,0.5658914728682171,0.12372881355932204,0.20305980528511822,0.5093724778046812,0.269798002764567,0.45069033530571995,0.5454545454545454,0.02146690518783542,0.04130808950086059,0.47554306158957316,0.2869249388240458
